vcovslag_risk_ratio	vcovslag_duration	vcovsinter2	vcovslag_OSV_total	vcovsOSV_total_time	vcovslag_nlights_mean	vcovslag_drought_prop	vcovslag_mountains_prop	vcovslag_dist_unit	vcovslag_dist_border_own	vcovslag_dist_cap_hun	vcovslag_days_to_urban	vcovslag_hq	vcovslag_zone_de_confidence	vcovslag_neigh_troops	vcovslag_quality	vcovslag_no_troops	vcovs_cons	vcovslnalpha
.0103907	-.0016912	.0017831	1.58e-08	.0000947	.0025177	.0008882	-.0014631	.0004602	.0036965	.0024325	.0115437	-.0067448	-.0088843	.0121387	-7.91e-06	-6.10e-06	-.037547	.0014765
.1640394	.0164095	-.0200188	.0007333	.0024212	.0254109	-.0061836	.1365965	-.0023462	-.0146408	.0115437	2.159052	.1478793	-.0405505	.0194067	-.0007355	-.0000381	-.5074176	-.1170996
-.1205948	.0088639	-.0090221	.0001804	.000313	-.0180384	.0504154	-.0644539	-.0015748	-.0286771	-.0067448	.1478793	.1763358	-.0074491	-.0860794	-.0014062	.0000788	.1506814	-.013601
.1313391	.008235	-.0096989	-.000094	-.0001573	-.006948	-.0590526	.1477199	-.0001079	-.0000572	-.0088843	-.0405505	-.0074491	.1902039	-.0705235	-.0003704	.0000276	-.0401469	-.0367008
.1379211	-.0075155	.0089625	-.0004305	-.0011737	.0215447	-.0935865	.1294919	.000374	.0444008	.0121387	.0194067	-.0860794	-.0705235	.2743005	.0017199	-.0001442	-.2882601	.1701148
.0046002	-1.78e-06	-1.97e-06	-2.87e-06	-.000024	.0001622	-.002011	.0018435	-.0000352	.0003635	-7.91e-06	-.0007355	-.0014062	-.0003704	.0017199	.0000627	-1.61e-06	-.0033952	.001085
-.0001523	2.29e-06	-2.26e-06	6.56e-08	6.57e-07	-.0000179	.0000718	-.0001062	-4.41e-07	-.0000257	-6.10e-06	-.0000381	.0000788	.0000276	-.0001442	-1.61e-06	1.03e-07	.0002158	-.0000795
-1.543598	.0189599	-.0203058	-.0004293	-.0015903	-.0536896	.175483	-.3045682	-.0016208	-.0791951	-.037547	-.5074176	.1506814	-.0401469	-.2882601	-.0033952	.0002158	1.815188	-.0606772
.0227987	-.0003224	.0016512	-.0003405	-.001244	.0048945	-.0430509	.084644	-.00111	.0183685	.0014765	-.1170996	-.013601	-.0367008	.1701148	.001085	-.0000795	-.0606772	.1527805
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
